category1,body
Anonymity Networks,"
			
				
I just saw a post in TOR stack exchange titled “Is it recommended that we use a VPN along with Tor?” and wanted to post about using VPN and TOR alongside. Previously, I’ve posted Socks Rocks! The Good, The Bad and The Ugly and Socks Rocks Again! and this post is conclusion of the posts.







Actually VPN hides your IP from ISP but the VPN server will know your real IP address and your packets’ destination.



TOR uses three extra (software-based) router in order to hide your IP from destination and routers. (Actually the first router knows your real IP but does know the destination. Final router knows destination but does not know your real IP). It is considered in TOR that the routers do not share the information, else they can identify your session and IP.



Based on the above, you can use TOR through VPN or VPN through TOR.



 In VPN through TOR, you will connect to VPN server from TOR. VPN does not know your real IP (knows the final router’s IP) but the destination does not know you’re requesting through TOR. In TOR through VPN, you will connect to TOR through VPN, therefore VPN provider will know your real IP but wont know the destination. First router will know the VPN’s IP (not your real IP).



Case 1 can help you when you want use TOR and access sites such as Google which has banned access from TOR which is discussed in Socks Rocks Again!.  Case 2 can help you in privacy, because you add an extra layer of IP to access you.  The following picture depicts the two cases:



Case 1: VPN through TOR, Case 2: TOR through VPN
			
		"
Anonymity Networks,"
			
				
OnionFarm was one of the challenges in UUTCTF which was held in 25-28 April 2019 by Urmia University of Technology. The challenge has been solved by 4 teams. Following, the challenge details and the write up is discussed.







OnionFarm



The challenge said that the flag is inside the following link: http://uutctfysirwosxjx.onion/



OnionFarm Challenge in UUTCTF2019



The link is a hidden service and it starts with http. Therefore, it should be opened by TOR. Using Tor Browser, the page is loaded.



OnionFarm Hidden Web Service



As it is shown in the above picture, There is a flag signed by a private key (in base64) and SHA-1 hash of its public key is given.



Signed Flag: Y94QDVNr0kOeu3j2cdqOuGyUb+V1KZXMQiEWNktf3g46TeEmKjc9MI4Ox2WaK/JNV433E9VWMAOXGC79hpZ0WO6pfQurBtcoqYj3dCZRKESGY0V4LCxkE6r+NSKZf0HxaYVsMV6uIXEQIKORO+DWCWI2gVNvD4K+Mw4vbHcxpRs= 



SHA-1 of the public key: uutctfysirwosxjxadwzgzy34lrhjknq 



But the SHA-1 signature is not in familiar form. Instead the first 16 chars of SHA-1 hash is the same as the hidden web service name:  http://uutctfysirwosxjx.onion/ 



The TOR System



In version 2 of the onion addresses in TOR system, the onion link is 16 first chars of the public key of the hidden service, encoded in base32 address. Therefore, the main task is getting the public key of this hidden service. TOR itself gives a control port for controlling TOR. Stem is a python library for interacting with TOR control port. Following code from github link, can be used for getting the hidden service descriptors (information).



import sys
import argparse
import stem
from stem.control import Controller
def main():
    parser = argparse.ArgumentParser(description=""%s fetches a Tor hidden ""
                                     ""service descriptor."" % sys.argv[0])
    parser.add_argument(""-p"", ""--port"", type=int, default=9051,
                        help=""Tor controller port"")
    parser.add_argument('onion_address', type=str, help='Onion address')
    args = parser.parse_args()
    with Controller.from_port(port=args.port) as controller:
        controller.authenticate()
        try:
            hs_descriptor = controller.get_hidden_service_descriptor(args.onion_address)
            print(hs_descriptor)
        except stem.DescriptorUnavailable:
            print(""Descriptor not found, the hidden service may be offline."")
            return 1
if __name__ == '__main__':
    sys.exit(main()) 



Using the above code, one can fetch the public key for the hidden service.



HS Descriptor for OnionFarm



RSA Public Key



The Flag



We’ve found the public key, but the problem is that it is in RSA PUBLIC KEY format. Openssl accepts PEM format which should be PUBLIC KEY. Therefor we need to convert the RSA public key in a readable format. First of all the base64 encoded text, is in ASN.1 format. Using tools such as ASN1JS, public key bytes and modulus can be gained. The online version of ASN1JS is available in jsfiddle website.



ASN.1 Format



Now we have public key (138865786359602944891762156467560871881909108828375427630579384292773) and modulus (527482743). We need to form an PEM file. With the public key and modulus bytes, we can form an XML format. In the following picture, I just show the modulus. The same procedure is done for public key.



Bytes to Base64



In final stage, we need a tool to convert XML format to PEM. I’ve used Superdry Developer .



Final Public Key



The final public key in PEM format is: 



—–BEGIN PUBLIC KEY—– MIGgMA0GCSqGSIb3DQEBAQUAA4GOADCBigKBgQDFwF6gXXDrPMhAi/3ePAaGtY3h hknEorJT3oXu6qBBPdKjjMTLEw504BsNKzCxGWOG+477WgLaB4KTncupQ65EawXm TjzWX99ongOq32cuuHYjl7LGuqVfzf1uQqjIZpftJouzAxOXq9h3qE2wI0xRVFPH YIiOat+jhhNG2jkknwIEH3C/dw== —–END PUBLIC KEY—–



Now we should pass flag to openssl and verify the flag using it, but first we need to base64 decode the flag.



Decryption



Voila! The flag is: UUTCTF{hIdden_0ni0ns_should_be_harvested}
			
		"
AndroJava,"
			
				
I was researching about Android Malware and their features, compare them. I’ve found that most of them (actually all) do not support live video stream from Android camera, aka Spy Camera, and one that supports live camera, needs an activity. Therefore, I’ve started a hidden spy camera project to live stream video from Android camera to an Rtmp server without activity, named Live Hidden Camera.



Live Hidden Camera in Action







The Idea of Spy Camera



As I’ve told before, the main idea is from lack of live stream libraries. I wanted to know how the Android camera works and how RATs benefits the spy camera. I’ve searched and found a Github repository, containing Android RATs. The only RAT I’ve found with live stream ability was AndroRAT which needs activity for video stream.



AndroRAT



What I Did



I found open source libraries which is used for video streaming in Android. They get picture from camera, audio from microphone, encode and sync them, and finally send them to a stream server. The list of opensource video streaming libraries are:



 https://github.com/begeekmyfriend/yaseahttps://github.com/ant-media/LiveVideoBroadcasterhttps://github.com/TakuSemba/RtmpPublisherhttps://github.com/fyhertz/libstreaming 



But all the libraries needs a SurfaceView which is graphical element fr displaying camera preview to user. In Android’s security mechanism, camera preview should be displayed to user for capturing from camera. Therefore, I’ve searched for hiding camera preview and I’ve found  https://github.com/kevalpatel2106/android-hidden-camera which exactly do the same, overlays a dummy SurfaceView with size of 1*1. But the library is used for taking pictures, not streaming.



Live Hidden Camera Born



The idea for hidden streaming is found based on Android-Hidden-Camera and Yasea. The main work was merging them, which was a bit annoying. But finally done.



For the aim of streaming server, I’ve used Ant Media Server which has a community edition and is free and opensource forked from Red5. Here is a manual for running the Ant Media Server.



Ant Media Server



The final stage was creating a library for others use. The library and the source code are available in my Github repository.



https://github.com/mirsamantajbakhsh/LiveHiddenCamera/



Happy streaming!





Live Hidden Camera in Action
			
		"
IoT,"
			
				
I’ve previously installed a Home Assistant (HA) in my home and attached temperature and humidity sensor to it. I’ve tweeted about  Home Assistant times ago. Now I had added it more features.







Customizing UI



With the growth of sensors and smart elements at home, I’ve customized the HA interface and split the sensors in the following categories:



WeatherCCTVMediaNews



Weather



There are two weather sources in my current smart home. One source is from DarkSky sensor, the other is the old temperature and humidity sensor which shows the weather conditions inside home!



Home Assistant – Weather



CCTV



I’ve added CCTV cams and attached them to HA. Finding the preview links was a bit annoying, but finally added.



Home Assistant – CCTV



Media



These devices was in my previous configuration but a Chrome Cast and a Samsung TV is added to this section.



Home Assistant – Media Manager



News



I’ve used instructions for Home Assistant feed parser, but there was needed for some improvement (support for RTL languages or display improvements) which I had changed. The RSS feed of news are added to the HA.



Home Assistant – News Feed



What’s Next for Home Assistant (HA) 



Currently I’m working on adding images to the RSS feeds in my free time. I like to create a smart mirror and attach it to the HA and attach more sensors! Let’s hope it all goes well!



The Demo of HA



Here I’ve uploaded a video captured from HA to YouTube:






			
		"
AndroJava,"
			
				
I previously created a “HiddenLiveCamera” library for Android. In Github, I’ve received an issue by  geminird  indicating that phone no responded. I described the reason and geminird asked for live audio stream.



In another post, I’ve wrote about broadcasting media files (such as mp3) using Mixxx and IceCast. In this post, I’ve write about my library and how to use it in Android projects in order to publish stream from Android. The code of the library is grabbed from CoolMic.







The Live Audio Android Library



I’ve created the library from CoolMic code, which is listed as IceCast client library. The code can be found in my GitHub Live Audio Repository. In addition I’ve published it as an AAR library which can be included in your Android applications. Making life easier …



Using The Library



There is needed to configure stream server (here, IceCast) and Android client (using my LiveAudio Android library ). The library code is accessible from my GitHub repository.



IceCast Side



After that, you should config your IceCast (or any other audio stream server on your choice). Using my post about broadcasting yourself, you can start configuration. But for this tutorial, I’ve used following stream source config in my IceCast:



<mount type=""normal"">
    <mount-name>/harleyquinn</mount-name>
    <username>joker</username>
    <password>hackme</password>
    <max-listeners>2</max-listeners>
    <max-listener-duration>360000</max-listener-duration>
    <dump-file>/tmp/harley.ogg</dump-file>
    <charset>ISO8859-1</charset>
    <public>1</public>
    <stream-name>Harley Quinn Radio</stream-name>
    <stream-description>Listen to my live audio from Gotham! With Joker!</stream-description>
    <genre>Heavy</genre>
    <bitrate>64</bitrate>
    <type>application/ogg</type>
    <subtype>vorbis</subtype>
    <hidden>1</hidden>
    <burst-size>65536</burst-size>
    <mp3-metadata-interval>4096</mp3-metadata-interval>
    <on-connect>/home/icecast/bin/source-start</on-connect>
    <on-disconnect>/home/icecast/bin/source-end</on-disconnect>
</mount>




Start your IceCast using settings similar to above.



Android Side



The library is published in JCenter, so you can use it in your Android project (I assume that you’re using gradle) like:



 implementation 'ir.mstajbakhsh.android:LiveAudio:1.0.0'



After adding the library, one can set a Config object for IceCase configuration, like:



Config c = new Config();
c.host(""192.168.43.194"");
c.port(8000);
c.username(""joker"");
c.password(""hackme"");
c.mount(""/harleyquinn"");
c.sampleRate(16000);



And then pass the config object to a LiveAudio object:



LiveAudio l = new LiveAudio(c);try {    l.start();} catch (Exception e) {    e.printStackTrace();}



Everything is OK. Start your application to broadcast yourself!



Video for Broadcast Yourself Through Android



I’ve created a demo video for using of LiveAudio:





Live Audio Library in Action
			
		"
Anonymity Networks,"
			
				
In this post, I will talk a little about OnionBalance, a load balancer in TOR network. It enables adding multiple hidden services which can be accessed from one Onion Address.



(The picture is from Life Hacker)







A Small Description



If you want to know more about TOR network and hidden services, you can check my previous posts in Anonimity Category. 



The idea of load balancing is about serving a service (such as Web service) using multiple instances (web servers). Load balancing helps users to wait less (for loading of a web page) and less traffic and load on the server.



This is the general idea of a web load balancer:



Simple Web Server Load Balancer



In normal load balancing schema, a DNS server can resolve the same domain name to multiple IPs using a load balancing algorithm (such as Round Robin), but in TOR network, there is no DNS server. The hidden services are served by HSD (Hidden Service Directories). You can get more information from this link.



Final Step in Hidden Service Connection Establishment



Therefore, Bob (who owns a hidden service) register its Introduction Points in the HSD (or the DB in picture). But Bob runs a hidden service with one address. What is Bob has more hidden services (same instance)?



Onion Balance



If Bob can run multiple hidden services and ask HDSs to change the Introduction Points of the multiple hidden services to only one Introduction Point, then the one address will be transferred to IP of the 1st hidden service or the 2nd or the 3rd, etc.



This is how the Onion Balance (and similar tools) works.



The Idea ‌Behind Onion Balance



Running Onion Balance



I made a video tutorial about running onion balance. If you have any question, feel free to ask.





Onion Balance Video Tutorial
			
		"
AndroJava,"
			
				
In previous post, I’ve talked about compiling TOR from source in Android and added some helper libraries for starting and configuring TOR. In this post, I’ve created a library based on Tor Binary (version 0.4.4.0) and published in GitHub, JFrog and JitPack.







Process



Whole Process is simple. The following picture depicts it.



TOR Android Process



Importing The TOR Android into Android Studio



There are 3 ways for importing the AAR library to Android Studio.




Download the latest release from TOR Android Github Page.Import from jCenter




implementation 'ir.mstajbakhsh:tor-android:1.0.0'




Get from JitPack



allprojects {
    repositories {
	maven { url 'https://jitpack.io' }
    }
}
dependencies {
implementation 'com.github.mirsamantajbakhsh:TorAndroid:1.0.0'
}




Sample Code



Here is a sample code for starting the TOR Android, an application with only one activity. The only needed permission is INTERNET which should be added to the Manifest.



@Override
protected void onCreate(Bundle savedInstanceState) {
    super.onCreate(savedInstanceState);
    setContentView(R.layout.activity_main);

    AsyncTask.execute(new Runnable() {
        @Override
        public void run() {

            final TorProxy tb = new TorProxy.TorBuilder(getApplicationContext())
                    .setSOCKsPort(TOR_TRANSPROXY_PORT_DEFAULT) //9150 for example
                    .setUseBrideges(false)
                    .setExternalHiddenServicePort(80)
                    .setInternalHiddenServicePort(80)
                    .setDebuggable(false)
                    .build();
            tb.init();

            runOnUiThread(new Runnable() {
                @Override
                public void run() {
                    Toast.makeText(getApplicationContext(), ""Initialized"", Toast.LENGTH_LONG).show();
                }
            });


            try {
                tb.start(new IConnectionDone() {
                    @Override
                    public void onSuccess() {
                        Log.d(""TorAndroid"", ""Tor started successfully."");
                        runOnUiThread(new Runnable() {
                            @Override
                            public void run() {
                                Toast.makeText(getApplicationContext(), ""TOR is OK."", Toast.LENGTH_LONG).show();
                                Toast.makeText(getApplicationContext(), tb.getOnionAddress(), Toast.LENGTH_LONG).show();
                            }
                        });

                    }

                    @Override
                    public void onFailure(final Exception ex) {
                        Log.e(""TorAndroid"", ""Error in starting Tor.\r\n"" + ex.getMessage());
                        runOnUiThread(new Runnable() {
                            @Override
                            public void run() {
                                Toast.makeText(getApplicationContext(), ""Error\r\n"" + ex.getMessage(), Toast.LENGTH_LONG).show();
                            }
                        });
                    }
                });
            } catch (IOException e) {
                e.printStackTrace();
            }
        }
    });

}



The result is OK. See it here:







Useful Links



https://github.com/mirsamantajbakhsh/TorAndroidhttps://bintray.com/mirsamantajbakhsh/Android/TorAndroid
			
		"
Anonymity Networks,"
			
				
Previously, I’ve described how to run hidden mail service over TOR and how to connect to it using ThunderBird.



In this post, I’ve create a video demo of what I’ve told in the posts.







Scenario of  Creating Hidden Mail Service 



The scenario is made up of a mail server (hMailServer) which is located behind a TOR hidden service and do not access to Internet. By means of do not access to Internet, I mean that hMailServer’s access to the Internet is blocked by firewall which it cannot send emails to other servers. It is used to ensure local delivery of emails.



Additionally there are two users: alice and bob over the fake domain of hidden.one which communicate with each other over the hidden mail server. 



Video for Creating Hidden Mail 



You can find the video on my Youtube channel. Mr Tajbakhsh Youtube channel





Creating and Configuring Hidden Mail Service over TOR




			
		"
Anonymity Networks,"
			
				
In this post, I want to talk about compiling and using TOR in your Android projects. The main source relies in guardian repository. 







Getting TOR Binary



As indicated in tor-android repository, by adding the maven URL to the gradle config of your project, you are able to use TOR’s latest build for Android. However, I couldn’t add it through the link.



TOR Android Maven URL



This is what I get when I click on the link:



Error of Maven URLKof TOR Android binary



Therefore I decided to download the complete source code and compile from scratch.



Getting TOR



The very easy method of getting the source code is:



git clone https://github.com/guardianproject/tor-android.git



But after getting the code, you need to download the submodules which are located in external subfolder.



TOR Android’s submodules



git submodule update --init
# if there are nested submodules:
git submodule update --init --recursive

# from https://www.vogella.com/tutorials/GitSubmodules/article.html#:~:text=2.3.-,Pulling%20with%20submodules,in%20the%20git%20pull%20command%20.



So everything is OK. Now you can use ./gradlew build  to build the source code. However, you should compile the binaries first. You can watch my YouTube video about the details.



My Contribution



I have added some code to make installing and starting TOR easier. Its functionality is similar to Tor Onion Project.



You can see my repository in the following link: https://github.com/mirsamantajbakhsh/tor-android/tree/HS_Connect



Here is a screenshot of my commits in tor-android project in a branch named HS_Connect.



My Contribution in tor-android for installing and starting TOR in Android



The Video



The whole process is recorded and uploaded to my YouTube channel. 





Join my channel to get all the videos!
			
		"
AndroJava,"
			
				
In this post, I’m going to talk about my new library for using NMAP in any Android project. I’ve released the library in my GitHub and Bintray. Using the library, you can use NMAP on non rooted Android device.







Alternatives



It is similar to other projects available in Google play such as Network Mapper. Actually the binary library is based on the binary versions published by kost same author of Network Mapper.



The binary files of NMAP are available in kosts’s GitHub repository.



How To Use



There is three simple step for using the library in your project:



Add INTERNET permission to the ManifestAdd NMAPAndroid dependency in your app level Gradle file.Write the simple code!



Here is the permission: 



<uses-permission android:name=""android.permission.INTERNET"" />



Here is the dependency:



implementation 'ir.mstajbakhsh:nmap-android:1.0.0'



Here is the simple code:



NMAPUtilities n = new NMAPUtilities(context);
n.startInstallation();

final StringBuilder line_buffer = new StringBuilder();
OutputStream ops = new OutputStream() {
	@Override
    public void write(int b) {
    	if (b == '\n') {
            System.out.println(line_buffer.toString());
            line_buffer.setLength(0);
        } else {
            line_buffer.append(Character.toChars(b));
        }
    }
};

try {
    n.execCommand(ops, ""-A"", ""192.168.1.0/24"", ""--system-dns"");
} catch (Exception e) {
    e.printStackTrace();
}



Here is the sample output of the project:



NMAP Android Sample Output



Limitation



Due to the size limit, only two binary versions are included inside the library including: arm and x86. Additionally, the flow chart of automatic installation of the library is depicted below:



NMAP Android Automatic Installation Process



Source Code



The source code is available in my personal repository in GitHub. https://github.com/mirsamantajbakhsh/NMAPAndroid



Donation



Do not forget to buy me a cup of coffee. My bitcoin wallet address is:



1F5uiEmdCLJX5KktWHE1wkc63feKJYMmxS
			
		"
